Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.661,0.47,0.268,0.284,0.312,0.3
0.66,0.347,0.23,0.184,0.414,0.373
0.635,0.373,0.28,0.258,0.56,0.357
0.672,0.282,0.307,0.239,0.403,0.422
0.643,0.363,0.293,0.273,0.497,0.367
0.654,0.364,0.384,0.239,0.55,0.352
0.674,0.355,0.435,0.212,0.399,0.345
0.654,0.395,0.29,0.301,0.627,0.299
0.661,0.288,0.397,0.19,0.417,0.342
0.629,0.313,0.29,0.357,0.626,0.384
0.651,0.312,0.341,0.332,0.625,0.337
0.648,0.357,0.291,0.282,0.632,0.432
0.671,0.347,0.253,0.295,0.482,0.42
0.656,0.392,0.324,0.247,0.43,0.395
0.646,0.374,0.253,0.312,0.572,0.37
0.666,0.383,0.31,0.311,0.606,0.394
0.655,0.295,0.345,0.263,0.584,0.296
0.655,0.448,0.294,0.29,0.464,0.409
0.67,0.35,0.29,0.296,0.539,0.379
0.664,0.363,0.273,0.29,0.623,0.374
0.647,0.41,0.347,0.253,0.551,0.34
0.659,0.353,0.308,0.291,0.504,0.395
0.656,0.425,0.348,0.322,0.501,0.347
0.649,0.432,0.267,0.33,0.442,0.386
0.66,0.392,0.272,0.28,0.42,0.334
0.661,0.401,0.287,0.316,0.478,0.324
0.667,0.401,0.325,0.292,0.46,0.331
0.647,0.433,0.421,0.371,0.42,0.366
0.652,0.476,0.337,0.261,0.326,0.378
0.664,0.376,0.359,0.249,0.621,0.356
