,IBEA vs. Random,NSGA_2 vs. Random,NSGA_3 vs. Random,MOCell vs. Random,SPEA_2 vs. Random
A12,0,0,0,0,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0.001,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0.002,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0.002,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0.001,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
A12,0,0,0,0.009,0
p-value,<0.05,<0.05,<0.05,<0.05,<0.05
