Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.702,0.46,0.479,0.365,0.675,0.529
0.706,0.511,0.479,0.424,0.46,0.501
0.7,0.51,0.419,0.39,0.676,0.508
0.702,0.497,0.436,0.423,0.553,0.463
0.707,0.448,0.476,0.348,0.488,0.434
0.711,0.491,0.414,0.376,0.661,0.458
0.704,0.544,0.441,0.349,0.575,0.451
0.687,0.518,0.491,0.455,0.492,0.507
0.697,0.481,0.455,0.446,0.583,0.478
0.703,0.492,0.386,0.482,0.573,0.47
0.697,0.489,0.484,0.444,0.643,0.495
0.704,0.473,0.392,0.45,0.532,0.509
0.696,0.439,0.386,0.417,0.457,0.517
0.7,0.538,0.41,0.385,0.608,0.531
0.708,0.5,0.457,0.506,0.615,0.532
0.694,0.537,0.456,0.455,0.589,0.516
0.707,0.492,0.476,0.369,0.467,0.439
0.716,0.509,0.407,0.482,0.683,0.499
0.705,0.439,0.458,0.439,0.565,0.5
0.71,0.557,0.514,0.434,0.562,0.5
0.711,0.446,0.45,0.43,0.646,0.521
0.698,0.526,0.408,0.418,0.652,0.443
0.702,0.515,0.476,0.404,0.596,0.492
0.705,0.509,0.458,0.474,0.602,0.503
0.709,0.452,0.485,0.469,0.665,0.477
0.7,0.468,0.484,0.384,0.601,0.48
0.709,0.449,0.535,0.46,0.667,0.473
0.707,0.471,0.467,0.51,0.659,0.548
0.706,0.451,0.448,0.455,0.681,0.459
0.711,0.489,0.469,0.441,0.474,0.45
